F 102 L0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000
F 103 L0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.000
F 104 L0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.000
F 105 L0.001,0.000,0.000,0.002,0.000,0.000,0.000,0.000
F 106 L0.001,0.000,0.000,0.002,0.001,0.000,0.000,0.000
F 107 L0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 108 L0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000
F 109 L0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000
F 110 L0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000
F 111 L0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 112 L0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 113 L0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 114 L0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 115 L0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 116 L0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000
F 117 L0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 118 L0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 119 L0.001,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 120 L0.001,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 121 L0.001,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 122 L0.001,0.000,0.000,0.002,0.001,0.000,0.000,0.000
F 123 L0.001,0.000,0.000,0.002,0.001,0.000,0.000,0.000
F 124 L0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 125 L0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000
F 126 L0.000,0.000,0.001,0.003,0.001,0.000,0.000,0.000
F 127 L0.000,0.000,0.001,0.003,0.001,0.000,0.000,0.000
F 128 L0.001,0.001,0.003,0.003,0.002,0.000,0.000,0.000
F 129 L0.002,0.004,0.012,0.009,0.005,0.001,0.000,0.000
F 130 L0.002,0.021,0.025,0.008,0.003,0.001,0.000,0.000
F 131 L0.002,0.057,0.026,0.003,0.001,0.000,0.000,0.000
F 132 L0.003,0.069,0.018,0.003,0.001,0.000,0.000,0.000
